,CANCELED,DONE,FAILED,NEW,PMGR_ACTIVE,PMGR_ACTIVE_PENDING,PMGR_LAUNCHING,PMGR_LAUNCHING_PENDING,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,ncore,nunit,pid,sid,util_p_boot,util_p_orte,util_p_setup_1,util_p_setup_2,util_p_term,util_p_total,util_p_uexec
0,,,1511542779.13,1511373192.48,1511528582.89,1511373296.43,1511373192.48,1511373192.48,155286.4607,14196.2365999,103.94900012,0.00230002403259,0.00329995155334,strong_scaling_synapse_titan,ccs.ornl.gov,32816,16384,pilot.0000,rp.session.titan-ext1.itoman.017492.0001,65.5523998737,56.0950000286,2.12859988213,1.09610009193,7.45870018005,14329.6278999,14197.2970998
0,,,1512310666.19,1512144629.03,1512282794.01,1512144683.41,1512144629.04,1512144629.03,138110.602,27872.1794999,54.3716001511,0.00370001792908,0.00440001487732,strong_scaling_synapse_titan,ccs.ornl.gov,16432,16384,pilot.0000,rp.session.titan-ext1.itoman.017501.0001,68.9891998768,27.126999855,2.20000004768,1.10000014305,8.48180007935,27984.5235,27876.6255
0,,,1510357633.96,1509668972.01,1510349981.07,1509669053.79,1509668972.01,1509668972.01,680927.2833,7652.89190006,81.7761001587,0.0019998550415,0.0032000541687,strong_scaling_synapse_titan,ccs.ornl.gov,65584,16384,pilot.0000,rp.session.titan-ext1.itoman.017473.0000,59.3209998608,130.838000059,16.9500000477,1.30270004272,5.90020012856,7869.22000003,7654.90809989
0,,,1512444494.78,1512320345.94,1512416733.78,1512320400.82,1512320345.95,1512320345.95,96332.9512999,27761.0074,54.8735001087,0.00279998779297,0.00289988517761,strong_scaling_synapse_titan,ccs.ornl.gov,16432,16384,pilot.0000,rp.session.titan-ext1.itoman.017503.0000,64.552200079,26.6314001083,2.20000004768,1.09999990463,7.16680002213,27865.1356001,27763.4851999
0,,,1509310711.97,1509215545.2,1509296152.09,1509215600.75,1509215545.21,1509215545.21,80551.3494003,14559.8801997,55.5350999832,0.00270009040833,0.0036997795105,strong_scaling_synapse_titan,ccs.ornl.gov,32816,16384,pilot.0000,rp.session.titan-ext2.itoman.017467.0000,66.9133000374,35.118999958,9.98973846436e-05,0.000100135803223,8.10009980202,14674.7681999,14564.6356001
0,,,1511304161.88,1511284129.34,1511296553.02,1511284202.19,1511284129.35,1511284129.35,12350.8301001,7608.85819983,72.8394999504,0.00360012054443,0.00449991226196,strong_scaling_synapse_titan,ccs.ornl.gov,65584,16384,pilot.0000,rp.session.titan-ext1.itoman.017491.0004,62.8940000534,112.292999983,5.94090008736,1.60199999809,8.81089997292,7801.41350007,7609.87269998
