,NEW,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid,util_p_boot,util_p_orte,util_p_setup_1,util_p_setup_2,util_p_term,util_p_total,util_p_uexec,util_u_eprep,util_u_equeue,util_u_exec_app,util_u_exec_cu,util_u_exec_orte,util_u_exec_rp,util_u_total,util_u_unschedule
rp.session.titan-ext1.itoman.017492.0001,19.1164999008,155286.4607,14196.2365999,103.94900012,0.00230002403259,0.00329995155334,1511387438.31,14175.1995001,478.183899879,247.849903584,13237.1710074,2.42689990997,21.8136000633,strong_scaling_synapse_titan,32816,32816,1,1,1,16384,16384,0,rp.session.titan-ext1.itoman.017492.0001,65.5523998737,56.0950000286,2.12859988213,1.09610009193,7.45870018005,14329.6278999,14197.2970998,471.816404104,250.593109608,14076.4338002,242.983897448,2976.43129921,683.061914206,14175.2099001,7126.93050027
rp.session.titan-ext1.itoman.017491.0004,16.2581000328,12350.8301001,7608.85819983,72.8394999504,0.00360012054443,0.00449991226196,1511291852.5,7591.29299998,1020.86369991,124.107116699,6626.73419857,2.4470000267,22.0629999638,strong_scaling_synapse_titan,65584,65584,1,1,1,16384,16384,0,rp.session.titan-ext1.itoman.017491.0004,62.8940000534,112.292999983,5.94090008736,1.60199999809,8.81089997292,7801.41350007,7609.87269998,896.157699108,129.614500046,7475.13039994,209.723487854,2727.66850042,682.098497868,7591.29929996,5761.7974
rp.session.titan-ext1.itoman.017473.0000,16.8675999641,680927.2833,7652.89190006,81.7761001587,0.0019998550415,0.0032000541687,1509676765.91,7632.54320002,1040.95650005,119.739293575,6639.0830996,2.51449990273,22.5116999149,strong_scaling_synapse_titan,65584,65584,1,1,1,16384,16384,0,rp.session.titan-ext1.itoman.017473.0000,59.3209998608,130.838000059,16.9500000477,1.30270004272,5.90020012856,7869.22000003,7654.90809989,941.58901,125.301278114,7489.79869986,206.058100939,2712.88889718,731.962005377,7632.55940008,5870.14980006
rp.session.titan-ext2.itoman.017467.0000,17.0250000954,80551.3494003,14559.8801997,55.5350999832,0.00270009040833,0.0036997795105,1509230136.8,14541.3889999,483.442699909,121.630218744,13573.8064013,2.43180012703,22.4528000355,strong_scaling_synapse_titan,32816,32816,1,1,1,16384,16384,0,rp.session.titan-ext2.itoman.017467.0000,66.9133000374,35.118999958,9.98973846436e-05,0.000100135803223,8.10009980202,14674.7681999,14564.6356001,526.58158946,442.51059103,14404.5417001,146.619089842,4369.34569716,587.979804039,14541.4334998,10036.2724993
