,sid,experiment,nhost,nunit,nunit_done,nunit_failed,npilot,npilot_active,ncore,ncore_active,P_PMGR_SCHEDULING,P_PMGR_QUEUING,P_LRMS_SUBMITTING,P_LRMS_QUEUING,P_LRMS_RUNNING,util_p_total,util_p_boot,util_p_setup_1,util_p_orte,util_p_setup_2,util_p_uexec,util_p_term,U_UMGR_SCHEDULING,U_UMGR_BINDING,U_AGENT_QUEUING,U_AGENT_SCHEDULING,U_AGENT_QUEUING_EXEC,U_AGENT_EXECUTING,util_u_total,cu_exec_start_stop,util_u_equeue,util_u_pre_exec,util_u_eprep,util_u_exec_rp,util_u_exec_cu,util_u_exec_orte,util_u_exec_app,util_u_unschedule,NEW,TTC
rp.session.login2.frontera.tacc.utexas.edu.mturilli.018316.0002,rp.session.login2.frontera.tacc.utexas.edu.mturilli.018316.0002,sscaling1,1,8192,7247,945,1,1,112,112,0.13878631591796875,0.0070378780364990234,13.07600736618042,4166.181356906891,10815.610384464264,0,0,0,0,0,6.360015392303468,0,7.202760457992554,87.32356762886047,83.9277410507202,10773.528015613556,62.22645592689514,10770.543189287186,10773.451864242554,10759.308606147766,1108.8783946037292,213.68897485733032,42.89638304710388,263.0376386642456,787.4041168689728,3544.3038313388824,10709.159924030304,2197.2921528816228,25.41535878181457,1582574506.9283063
rp.session.login2.frontera.tacc.utexas.edu.mturilli.018320.0001,rp.session.login2.frontera.tacc.utexas.edu.mturilli.018320.0001,sscaling1,1,8192,8192,0,1,1,1792,1792,0.13918709754943848,0.008898735046386719,18.19248461723328,50.78647017478943,929.4190859794617,0,0,0,0,0,4.450585126876831,0,7.208208084106445,4.987019062042236,84.14311861991881,902.120166540146,134.1667287349701,911.6683232784272,911.7202270030976,911.424232006073,312.48023843765264,200.8093328475952,50.23012089729309,224.67919611930847,429.51044368743896,778.7059712409973,910.199827194214,753.3988347053528,26.681641101837158,1582856871.4401178
rp.session.login2.frontera.tacc.utexas.edu.mturilli.018317.0002,rp.session.login2.frontera.tacc.utexas.edu.mturilli.018317.0002,sscaling1,1,8192,8192,0,1,1,224,224,0.1307063102722168,0.005853176116943359,20.04708337783813,50568.295706033714,7270.161551713942,0,0,0,0,0,10.344786167144775,0,11.264036655426025,85.44150757789613,0.0,4189.375813961029,72.61587977409363,7250.081748485565,4189.309359073639,7249.807498931885,818.7995762825012,216.61795520782468,46.1999409198761,260.7640483379364,739.5366065502167,3001.931299448013,7238.692575931549,1656.3384017944336,26.19061255455017,1582613852.1619446
rp.session.login2.frontera.tacc.utexas.edu.mturilli.018320.0002,rp.session.login2.frontera.tacc.utexas.edu.mturilli.018320.0002,sscaling1,1,8192,8192,0,1,1,3584,3584,0.13908028602600098,0.001836776733398437,20.53313660621643,2477.9362297058105,507.59041476249695,0,0,0,0,0,10.786337852478027,0,7.4306440353393555,4.817645072937012,84.73693346977235,476.83772897720337,167.5176913738251,490.01988530158997,490.08520913124084,489.6296000480652,241.3831465244293,199.29025101661682,62.63665747642517,211.74382495880127,322.20410585403437,457.3948559761048,484.77168607711786,447.6104810237885,26.50147223472595,1582858716.1208615
rp.session.login2.frontera.tacc.utexas.edu.mturilli.018320.0003,rp.session.login2.frontera.tacc.utexas.edu.mturilli.018320.0003,sscaling1,1,8192,7168,1024,1,1,7168,7168,0.13908100128173828,0.00993204116821289,30.27211761474609,19270.812658309937,256.56253623962397,0,0,0,0,0,4.489736795425415,0,7.531878709793091,4.7649452686309814,73.80209851264955,224.6730613708496,137.22567462921145,237.25703406333923,237.27068638801566,236.9968020915985,156.5008203983307,152.53072714805603,32.56924295425415,157.01997470855713,194.9550280570984,223.2199759483337,235.825621843338,223.58455896377563,27.78608107566833,1582875705.6925607
rp.session.login2.frontera.tacc.utexas.edu.mturilli.018319.0002,rp.session.login2.frontera.tacc.utexas.edu.mturilli.018319.0002,sscaling1,1,8192,8192,0,1,1,448,448,0.13936591148376465,0.007954597473144531,12.066031455993652,204.29086017608643,3704.590261220932,0,0,0,0,0,6.438114643096924,0,7.777121543884277,4.760406732559204,83.9460380077362,3675.333814382553,99.7167191505432,3684.790755748749,3684.871655702591,3684.516618013382,642.5045237541199,215.4325864315033,47.385105848312385,255.86726498603818,665.2809028625487,2281.645337104797,3683.5727832317352,1745.2160987854004,26.95244550704956,1582843747.9707088
rp.session.login2.frontera.tacc.utexas.edu.mturilli.018320.0000,rp.session.login2.frontera.tacc.utexas.edu.mturilli.018320.0000,sscaling1,1,8192,7168,1024,1,1,896,896,0.13891959190368652,0.0013277530670166016,31.113900661468506,145.78353095054626,1619.2457633018494,0,0,0,0,0,9.18456768989563,0,7.353742361068726,5.231212377548218,74.78125739097595,1595.9857890605927,110.40611124038696,1608.5528905391693,1608.6374242305756,1608.3181149959564,371.30467224121094,187.2553849220276,60.97699165344238,220.8074245452881,517.8266754150391,1217.9417989253998,1607.2436571121216,1098.3844306468964,33.94909167289734,1582853420.7506444
