,NEW,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid
rp.session.titan-ext1.merzky1.017431.0004,27942.1143,0.0,32818.9215,55.5468001366,0.00349998474121,0.0025999546051,32832.5897999,0.0,0.0,0.0,0.0,0.0242998600006,0.157999992371,exp1,4144,4144,1,1,1,128,0,128,rp.session.titan-ext1.merzky1.017431.0004
rp.session.titan-ext1.merzky1.017431.0006,31954.2126,0.0,152295.6985,56.0051999092,0.00329995155334,0.00279998779297,152309.7962,0.0,0.0,0.0,0.0,0.16639995575,1.24070000648,exp1,32816,32816,1,1,1,1024,0,1024,rp.session.titan-ext1.merzky1.017431.0006
rp.session.titan-ext1.merzky1.017431.0000,37.2974998951,7020.33570004,51.1025998592,153.985500097,0.00289988517761,0.00220012664795,7269.21490002,27.4932000637,20.7031998634,13.0928006172,4.83969950676,0.0411999225616,0.312400102615,exp1,8240,8240,1,1,1,256,256,0,rp.session.titan-ext1.merzky1.017431.0000
