,CANCELED,DONE,FAILED,NEW,PMGR_ACTIVE,PMGR_ACTIVE_PENDING,PMGR_LAUNCHING,PMGR_LAUNCHING_PENDING,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,ncore,nunit,pid,sid
0,32818.9322,,,27942.1143,0.0106999874115,27997.6672001,27942.1204,27942.1169,,32818.9215,55.5468001366,0.00349998474121,0.0025999546051,exp1,ccs.ornl.gov,4144,128,pilot.0000,rp.session.titan-ext1.merzky1.017431.0004
0,152295.7091,,,31954.2126,0.0105998516083,32010.2238998,31954.2186999,31954.2154,,152295.6985,56.0051999092,0.00329995155334,0.00279998779297,exp1,ccs.ornl.gov,32816,1024,pilot.0000,rp.session.titan-ext1.merzky1.017431.0006
0,,,7262.7263999,37.2974998951,7211.62380004,191.288100004,37.3025999069,37.2997000217,7020.33570004,51.1025998592,153.985500097,0.00289988517761,0.00220012664795,exp1,ccs.ornl.gov,8240,256,pilot.0000,rp.session.titan-ext1.merzky1.017431.0000
