,CANCELED,DONE,FAILED,NEW,PMGR_ACTIVE,PMGR_ACTIVE_PENDING,PMGR_LAUNCHING,PMGR_LAUNCHING_PENDING,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,ncore,nunit,pid,sid
0,,,51377.5961003,21.8637003899,50158.5922,143.779000282,21.8694002628,21.866600275,50014.8131998,1219.00390029,121.909600019,0.00279998779297,0.00289988517761,micro_benchmarks_synapse_titan,ccs.ornl.gov,32816,1024,pilot.0000,micro_syn_titan_1024_32_32768_60_6.0
0,121485.3057,121541.503,,101008.2116,30.8180000782,101079.4517,101008.218,101008.2145,,121454.4877,71.233700037,0.00349998474121,0.00289988517761,micro_benchmarks_synapse_titan,ccs.ornl.gov,16432,512,pilot.0000,micro_syn_titan_512_32_16384_60_5.0
0,122598.0108,122654.1909,,102119.8428,20.6169998646,102191.2211,102119.8927,102119.8457,,122577.3938,71.3283998966,0.0469999313354,0.00290012359619,micro_benchmarks_synapse_titan,ccs.ornl.gov,16432,512,pilot.0000,micro_syn_titan_512_32_16384_60_5.1
0,,,55411.5639,21.8669998646,54240.8876998,143.993899822,21.923199892,21.8701000214,54096.8938,1170.67620015,122.07069993,0.0530998706818,0.00310015678406,micro_benchmarks_synapse_titan,ccs.ornl.gov,32816,1024,pilot.0000,micro_syn_titan_1024_32_32768_60_6.1
0,,,19871.8458002,22.3047001362,17395.6251001,140.337800026,22.3113000393,22.3080999851,17255.2873001,2476.22070003,118.026499987,0.0032000541687,0.00339984893799,micro_benchmarks_synapse_titan,ccs.ornl.gov,65584,2048,pilot.0000,micro_syn_titan_2048_32_65536_60_7.0
0,,,17122.2504001,21.7879998684,14642.5786998,140.004999876,21.7936999798,21.7913999557,14502.5737,2479.67170024,118.211299896,0.00230002403259,0.00340008735657,micro_benchmarks_synapse_titan,ccs.ornl.gov,65584,2048,pilot.0000,micro_syn_titan_2048_32_65536_60_7.1
