,NEW,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid
micro_syn_titan_1024_32_32768_60_6.0,21.8637003899,50014.8131998,1219.00390029,121.909600019,0.00279998779297,0.00289988517761,1512165626.79,1105.91699982,8.85960006714,34.6478002071,34.6821000576,0.24950003624,1.31200003624,micro_benchmarks_synapse_titan,32816,32816,1,1,1,1024,1024,0,micro_syn_titan_1024_32_32768_60_6.0
micro_syn_titan_512_32_16384_60_5.0,101008.2116,0.0,121454.4877,71.233700037,0.00349998474121,0.00289988517761,1512264342.74,972.421599865,16.1302001476,10.8275997639,9.04470181465,0.0,0.672300100327,micro_benchmarks_synapse_titan,16432,16432,1,1,1,512,0,0,micro_syn_titan_512_32_16384_60_5.0
micro_syn_titan_512_32_16384_60_5.1,102119.8428,0.0,122577.3938,71.3283998966,0.0469999313354,0.00290012359619,1512265282.03,962.117899895,20.2904999256,7.69950270653,9.21079921722,0.0,0.688199996948,micro_benchmarks_synapse_titan,16432,16432,1,1,1,512,0,0,micro_syn_titan_512_32_16384_60_5.1
micro_syn_titan_1024_32_32768_60_6.1,21.8669998646,54096.8938,1170.67620015,122.07069993,0.0530998706818,0.00310015678406,1512165574.08,1104.58780003,6.61320018768,34.0167999268,34.0497000217,0.25250005722,1.25049996376,micro_benchmarks_synapse_titan,32816,32816,1,1,1,1024,1024,0,micro_syn_titan_1024_32_32768_60_6.1
micro_syn_titan_2048_32_65536_60_7.0,22.3047001362,17255.2873001,2476.22070003,118.026499987,0.0032000541687,0.00339984893799,1512339676.06,2086.02690005,39.2551000118,143.592399836,143.662399769,0.392899990082,2.64169979095,micro_benchmarks_synapse_titan,65584,65584,1,1,1,2048,2048,0,micro_syn_titan_2048_32_65536_60_7.0
micro_syn_titan_2048_32_65536_60_7.1,21.7879998684,14502.5737,2479.67170024,118.211299896,0.00230002403259,0.00340008735657,1512339774.98,2131.86430001,10.0579998493,134.193000078,134.273200035,0.450099945068,2.45950007439,micro_benchmarks_synapse_titan,65584,65584,1,1,1,2048,2048,0,micro_syn_titan_2048_32_65536_60_7.1
