,pid,sid,hid,ncore,nunit,experiment,P_PMGR_SCHEDULING,P_PMGR_QUEUING,P_LRMS_SUBMITTING,P_LRMS_QUEUING,P_LRMS_RUNNING,util_p_total,util_p_boot,util_p_setup_1,util_p_orte,util_p_setup_2,util_p_uexec,util_p_term,NEW,PMGR_LAUNCHING_PENDING,PMGR_LAUNCHING,PMGR_ACTIVE_PENDING,PMGR_ACTIVE,DONE,CANCELED,FAILED
0,pilot.0000,rp.session.login2.frontera.tacc.utexas.edu.mturilli.018320.0002,frontera.tacc.utexas.edu,3584,8192,sscaling1,0.13908028602600098,0.0018367767333984375,20.53313660621643,2477.9362297058105,507.59041476249695,572.3812999725342,43.28949999809265,,,,10.786337852478027,509.34420466423035,26.501472234725952,26.640552520751953,26.64238929748535,47.17552590370178,2525.1117556095123,3093.827287912369,3032.7021703720093,
0,pilot.0000,rp.session.login2.frontera.tacc.utexas.edu.mturilli.018320.0001,frontera.tacc.utexas.edu,1792,8192,sscaling1,0.13918709754943848,0.008898735046386719,18.192484617233276,50.78647017478943,929.4190859794617,979.0845999717712,26.07760000228882,,,,4.450585126876831,933.5563418865204,26.681641101837158,26.820828199386597,26.829726934432983,45.02221155166626,95.80868172645569,1099.3549540042877,1025.2277677059174,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018326.0004,frontera.tacc.utexas.edu,448,8192,sscaling1,0.13112163543701172,0.003684520721435547,36.31826043128967,138.60021090507507,3720.726165533066,3857.061700105667,111.75769996643066,,,,4.249945163726807,3722.8181552886963,46.193812131881714,46.324933767318726,46.32861828804016,82.64687871932983,221.2470896244049,4055.076881170273,3941.9732551574707,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018326.0002,frontera.tacc.utexas.edu,448,8192,sscaling1,0.13872075080871582,0.007744550704956055,11.963172912597656,46.52874541282654,3560.6166999340057,3598.9686999320984,22.709800004959106,,,,4.435400724411011,3557.457602262497,25.209099054336548,25.347819805145264,25.35556435585022,37.318737268447876,83.84748268127441,,3644.46418261528,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0002,frontera.tacc.utexas.edu,896,8192,sscaling1,0.13883018493652344,0.0016372203826904297,31.358670234680176,55.69333219528198,1827.5899522304535,1882.1503999233246,25.753699779510498,,,,4.552197694778442,1832.5722551345825,26.984852075576782,27.123682260513306,27.125319480895996,58.48398971557617,114.17732191085815,2025.0209720134735,1941.7672741413116,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0003,frontera.tacc.utexas.edu,1792,8192,sscaling1,0.13084673881530762,0.003026723861694336,33.2148642539978,61.72408056259155,922.445586681366,978.5046999454498,23.128899812698364,,,,6.724305152893066,936.569150686264,30.083320140838623,30.21416687965393,30.217193603515625,63.43205785751343,125.15613842010498,1124.1919388771057,1047.601725101471,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018325.0001,frontera.tacc.utexas.edu,7168,8192,sscaling1,0.13873744010925293,0.002871274948120117,21.61472725868225,34578.39033102989,288.83697271347046,334.8886001110077,33.38830018043518,,,,3.8910224437713623,288.9686918258667,25.69278621673584,25.831523656845093,25.834394931793213,47.449122190475464,34625.83945322037,34977.48933315277,34914.67642593384,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018326.0000,frontera.tacc.utexas.edu,7168,8192,sscaling1,0.13867521286010742,0.00400853157043457,31.268187761306763,8063.039584636688,293.73982977867126,347.3417000770569,30.82930016517639,,,,10.33926796913147,296.9659457206726,29.332196950912476,29.470872163772583,29.474880695343018,60.74306845664978,8123.782653093338,,8417.52248287201,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0001,frontera.tacc.utexas.edu,896,8192,sscaling1,0.13134527206420898,0.007611513137817383,32.80895519256592,52.486658573150635,1880.1116547584534,1924.0700001716614,28.593300104141235,,,,12.057315587997437,1877.6086049079895,27.828608512878418,27.959953784942627,27.967565298080444,60.77652049064636,113.263179063797,2068.6609966754913,1993.3748338222504,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0008,frontera.tacc.utexas.edu,1792,8192,sscaling1,0.13119101524353027,0.005301237106323242,13.062901735305786,44.74987530708313,888.5755321979523,926.3976998329163,21.591300010681152,,,,4.443376541137695,886.0879783630371,29.482028007507324,29.613219022750854,29.618520259857178,42.681421995162964,87.4312973022461,1036.7311146259308,976.0068295001984,
