,CANCELED,DONE,FAILED,NEW,PMGR_ACTIVE,PMGR_ACTIVE_PENDING,PMGR_LAUNCHING,PMGR_LAUNCHING_PENDING,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,ncore,nunit,pid,sid
0,50417.3309,,,17.9396998882,47659.9240999,73.9705998898,17.9463000298,17.9433999062,47585.9535,2757.40680003,56.02429986,0.00290012359619,0.00370001792908,exp1,ccs.ornl.gov,65584,2048,pilot.0000,rp.session.titan-ext1.merzky1.017453.0004
0,19335.3831999,,,18.6486999989,16954.0184999,74.8954999447,18.6542999744,18.6517000198,16879.1229999,2381.36470008,56.2411999702,0.0025999546051,0.00300002098083,exp1,ccs.ornl.gov,65584,2048,pilot.0000,rp.session.titan-ext1.merzky1.017454.0000
0,18607.6687002,,,17.2152001858,17324.8051,77.3280000687,17.2866001129,17.2185001373,17247.4770999,1282.86360025,60.0413999557,0.0680999755859,0.00329995155334,exp1,ccs.ornl.gov,32816,1024,pilot.0000,rp.session.titan-ext1.merzky1.017452.0003
