,NEW,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid
rp.session.titan-ext1.merzky1.017453.0004,17.9396998882,47585.9535,2757.40680003,56.02429986,0.00290012359619,0.00370001792908,50427.6087999,2375.35659981,0.777899980545,213.516200066,213.082299948,0.284199953079,2.5178000927,exp1,65584,65584,1,1,1,2048,2048,0,rp.session.titan-ext1.merzky1.017453.0004
rp.session.titan-ext1.merzky1.017454.0000,18.6486999989,16879.1229999,2381.36470008,56.2411999702,0.0025999546051,0.00300002098083,19345.6838999,2002.58119988,0.78469991684,209.657600164,209.232500076,0.302799940109,2.54710006714,exp1,65584,65584,1,1,1,2048,2048,0,rp.session.titan-ext1.merzky1.017454.0000
rp.session.titan-ext1.merzky1.017452.0003,17.2152001858,17247.4770999,1282.86360025,60.0413999557,0.0680999755859,0.00329995155334,18617.9170001,1063.50329995,0.38220000267,56.8138000965,56.5971999168,0.143500089645,1.25619983673,exp1,32816,32816,1,1,1,1024,1024,0,rp.session.titan-ext1.merzky1.017452.0003
