,AGENT_EXECUTING,AGENT_EXECUTING_PENDING,AGENT_SCHEDULING,AGENT_SCHEDULING_PENDING,AGENT_STAGING_INPUT,AGENT_STAGING_INPUT_PENDING,AGENT_STAGING_OUTPUT,AGENT_STAGING_OUTPUT_PENDING,CANCELED,DONE,FAILED,NEW,UMGR_SCHEDULING,UMGR_SCHEDULING_PENDING,UMGR_STAGING_INPUT,UMGR_STAGING_INPUT_PENDING,UMGR_STAGING_OUTPUT,UMGR_STAGING_OUTPUT_PENDING,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,hid,pid,sid,uid,util_u_eprep,util_u_equeue,util_u_exec_app,util_u_exec_cu,util_u_exec_orte,util_u_exec_rp,util_u_total,util_u_unschedule
0,23741.197299957275,23741.194900035858,23741.182899951935,23733.717299938202,23733.71649980545,42.56699991226196,24885.12469983101,24885.112699985504,,24886.75149989128,,14.339699983596802,15.356299877166748,15.23359990119934,15.49210000038147,15.40499997138977,24886.75099992752,24885.132999897003,1143.9154000282288,7.46560001373291,0.002399921417236328,0.012000083923339844,0.12269997596740723,0.8938999176025391,exp1,ccs.ornl.gov,pilot.0000,ws_syn_titan_256_32_8192_60_1.0,unit.000000,0.00690007209777832,0.011300086975097656,,,,,1143.9316000938416,
1,23741.21210002899,23741.206300020218,23741.19619989395,23733.71899986267,23733.718600034714,42.56699991226196,24918.41100001335,24918.398999929428,,24919.2077999115,,14.343599796295166,15.356299877166748,15.23359990119934,15.49210000038147,15.40499997138977,24919.207199811935,24918.425499916077,1177.1868999004364,7.477200031280518,0.005800008773803711,0.010100126266479492,0.12269997596740723,0.8900001049041748,exp1,ccs.ornl.gov,pilot.0000,ws_syn_titan_256_32_8192_60_1.0,unit.000001,0.0074999332427978516,0.015000104904174805,,,,,1177.2067999839783,
2,23741.227799892426,23741.217299938202,23741.207399845123,23733.72049999237,23733.720099925995,42.56699991226196,24877.564800024033,24877.55259990692,,24878.37870001793,,14.347100019454956,15.356299877166748,15.23359990119934,15.49210000038147,15.40499997138977,24878.378299951553,24877.57990002632,1136.3248000144958,7.4868998527526855,0.010499954223632812,0.009900093078613281,0.12269997596740723,0.8864998817443848,exp1,ccs.ornl.gov,pilot.0000,ws_syn_titan_256_32_8192_60_1.0,unit.000002,0.009000062942504883,0.019500017166137695,,,,,1136.3492000102997,
3,23741.2444999218,23741.228600025177,23741.218400001526,23733.72199988365,23733.721599817276,42.56699991226196,25040.45459985733,25040.442299842834,,25042.166599988937,,14.350199937820435,15.356299877166748,15.23359990119934,15.49210000038147,15.40499997138977,25042.166299819946,25040.46969985962,1299.1977999210358,7.4964001178741455,0.0158998966217041,0.010200023651123047,0.12269997596740723,0.8833999633789062,exp1,ccs.ornl.gov,pilot.0000,ws_syn_titan_256_32_8192_60_1.0,unit.000003,0.006700038909912109,0.025099992752075195,,,,,1299.2279000282288,
4,23741.258999824524,23741.23979997635,23741.229799985886,23733.72339987755,23733.723099946976,42.56699991226196,24904.0367000103,24904.024699926376,,24905.53149986267,,14.353599786758423,15.356299877166748,15.23359990119934,15.49210000038147,15.40499997138977,24905.530799865723,24904.0515999794,1162.7657001018524,7.506400108337402,0.019199848175048828,0.009999990463256836,0.12269997596740723,0.880000114440918,exp1,ccs.ornl.gov,pilot.0000,ws_syn_titan_256_32_8192_60_1.0,unit.000004,0.0070002079010009766,0.02819991111755371,,,,,1162.7987999916077,
5,23741.274699926376,23741.25099992752,23741.240900039673,23733.724799871445,23733.724499940872,42.56699991226196,24928.597800016403,24928.585599899292,,24929.690599918365,,14.356799840927124,15.356299877166748,15.23359990119934,15.49210000038147,15.40499997138977,24929.689799785614,24928.61039996147,1187.3108999729156,7.516100168228149,0.02369999885559082,0.01009988784790039,0.12269997596740723,0.8768000602722168,exp1,ccs.ornl.gov,pilot.0000,ws_syn_titan_256_32_8192_60_1.0,unit.000005,0.012000083923339844,0.0327000617980957,,,,,1187.3487000465393,
6,23741.29539990425,23741.262500047684,23741.252300024033,23733.726300001144,23733.72589993477,42.56699991226196,24929.60789990425,24929.595799922943,,24931.771699905396,,14.360299825668335,15.356299877166748,15.23359990119934,15.49210000038147,15.40499997138977,24931.771399974823,24929.62029981613,1188.300400018692,7.526000022888184,0.03289985656738281,0.010200023651123047,0.12269997596740723,0.8733000755310059,exp1,ccs.ornl.gov,pilot.0000,ws_syn_titan_256_32_8192_60_1.0,unit.000006,0.01380014419555664,0.042099952697753906,,,,,1188.3476998806,
7,23741.317999839783,23741.273900032043,23741.263700008392,23733.72769999504,23733.72739982605,42.56699991226196,24908.904799938202,24908.89279985428,,24909.755800008774,,14.363799810409546,15.356299877166748,15.23359990119934,15.49210000038147,15.40499997138977,24909.755299806595,24908.917099952698,1167.5748000144958,7.53600001335144,0.04409980773925781,0.010200023651123047,0.12269997596740723,0.8698000907897949,exp1,ccs.ornl.gov,pilot.0000,ws_syn_titan_256_32_8192_60_1.0,unit.000007,0.021700143814086914,0.05320000648498535,,,,,1167.6328999996185,
8,23741.347999811172,23741.286099910736,23741.275599956512,23733.729099988937,23733.728799819946,42.56699991226196,24838.165499925613,24838.153399944305,,24839.053699970245,,14.366999864578247,15.356299877166748,15.23359990119934,15.49210000038147,15.40499997138977,24839.053200006485,24838.180599927902,1096.805400133133,7.546499967575073,0.06189990043640137,0.010499954223632812,0.12269997596740723,0.8666000366210938,exp1,ccs.ornl.gov,pilot.0000,ws_syn_titan_256_32_8192_60_1.0,unit.000008,0.011700153350830078,0.07119989395141602,,,,,1096.88170003891,
9,23741.36779999733,23741.297699928284,23741.287400007248,23733.73059988022,23733.730199813843,42.56699991226196,24828.823499917984,24828.811399936676,,24829.793299913406,,14.370199918746948,15.356299877166748,15.23359990119934,15.49210000038147,15.40499997138977,24829.792799949646,24828.839099884033,1087.4435999393463,7.556800127029419,0.07010006904602051,0.010299921035766602,0.12269997596740723,0.8633999824523926,exp1,ccs.ornl.gov,pilot.0000,ws_syn_titan_256_32_8192_60_1.0,unit.000009,0.010499954223632812,0.0793001651763916,,,,,1087.5277001857758,
